Date,GDP growth rate,Inflation rate
1/1/2010,8.1,3.9
2/1/2010,8.1,3.9
3/1/2010,8.1,3.9
4/1/2010,8.0,4.0
5/1/2010,8.0,3.9
6/1/2010,8.0,3.6
7/1/2010,7.1,3.7
8/1/2010,7.1,4.1
9/1/2010,7.1,3.8
10/1/2010,6.3,3.2
11/1/2010,6.3,3.7
12/1/2010,6.3,3.6
1/1/2011,4.8,4.0
2/1/2011,4.8,4.7
3/1/2011,4.8,4.9
4/1/2011,3.6,4.7
5/1/2011,3.6,4.9
6/1/2011,3.6,5.2
7/1/2011,3.0,4.9
8/1/2011,3.0,4.6
9/1/2011,3.0,4.7
10/1/2011,4.0,5.2
11/1/2011,4.0,4.7
12/1/2011,4.0,4.2
1/1/2012,6.0,4.0
2/1/2012,6.0,2.8
3/1/2012,6.0,2.7
4/1/2012,6.2,3.0
5/1/2012,6.2,2.8
6/1/2012,6.2,2.6
7/1/2012,7.4,2.8
8/1/2012,7.4,3.6
9/1/2012,7.4,3.5
10/1/2012,7.8,3.1
11/1/2012,7.8,2.7
12/1/2012,7.8,2.7
1/1/2013,7.6,2.7
2/1/2013,7.6,2.9
3/1/2013,7.6,2.8
4/1/2013,7.5,2.1
5/1/2013,7.5,2.3
6/1/2013,7.5,2.5
7/1/2013,6.7,2.5
8/1/2013,6.7,1.8
9/1/2013,6.7,2.3
10/1/2013,5.4,2.4
11/1/2013,5.4,2.9
12/1/2013,5.4,3.8
1/1/2014,5.7,3.8
2/1/2014,5.7,3.6
3/1/2014,5.7,3.4
4/1/2014,6.9,3.7
5/1/2014,6.9,4.0
6/1/2014,6.9,3.8
7/1/2014,5.9,4.2
8/1/2014,5.9,4.2
9/1/2014,5.9,3.9
10/1/2014,6.7,3.7
11/1/2014,6.7,3.0
12/1/2014,6.7,1.9
1/1/2015,5.2,1.5
2/1/2015,5.2,1.5
3/1/2015,5.2,1.5
4/1/2015,6.4,1.4
5/1/2015,6.4,0.9
6/1/2015,6.4,0.6
7/1/2015,6.6,0.2
8/1/2015,6.6,0.0
9/1/2015,6.6,-0.4
10/1/2015,7.0,-0.2
11/1/2015,7.0,0.3
12/1/2015,7.0,0.7
1/1/2016,6.9,0.7
2/1/2016,6.9,0.5
3/1/2016,6.9,0.6
4/1/2016,7.4,0.7
5/1/2016,7.4,0.9
6/1/2016,7.4,1.3
7/1/2016,7.3,1.3
8/1/2016,7.3,1.3
9/1/2016,7.3,1.7
10/1/2016,6.9,1.8
11/1/2016,6.9,2.1
12/1/2016,6.9,2.2
1/1/2017,6.4,2.5
2/1/2017,6.4,3.1
3/1/2017,6.4,3.1
4/1/2017,7.2,3.2
5/1/2017,7.2,2.9
6/1/2017,7.2,2.5
7/1/2017,7.5,2.4
8/1/2017,7.5,2.7
9/1/2017,7.5,3.1
10/1/2017,6.6,3.1
11/1/2017,6.6,3.0
12/1/2017,6.6,2.9
1/1/2018,6.5,3.4
2/1/2018,6.5,3.8
3/1/2018,6.5,4.3
4/1/2018,6.4,4.5
5/1/2018,6.4,4.6
6/1/2018,6.4,5.2
7/1/2018,6.1,5.7
8/1/2018,6.1,6.4
9/1/2018,6.1,6.7
10/1/2018,6.4,6.7
11/1/2018,6.4,6.0
12/1/2018,6.4,5.1
