Date,Average Farmgate Prices
2010-01-01,13.03
2010-02-01,13.43
2010-03-01,13.82
2010-04-01,14.21
2010-05-01,14.6
2010-06-01,15.0
2010-07-01,15.39
2010-08-01,15.47
2010-09-01,15.52
2010-10-01,15.02
2010-11-01,15.1
2010-12-01,15.18
2011-01-01,15.25
2011-02-01,15.33
2011-03-01,15.41
2011-04-01,15.49
2011-05-01,15.56
2011-06-01,15.64
2011-07-01,15.72
2011-08-01,16.03
2011-09-01,15.94
2011-10-01,13.19
2011-11-01,11.34
2011-12-01,11.54
2012-01-01,12.34
2012-02-01,13.14
2012-03-01,13.94
2012-04-01,14.73
2012-05-01,15.53
2012-06-01,16.33
2012-07-01,17.13
2012-08-01,16.25
2012-09-01,16.58
2012-10-01,15.82
2012-11-01,10.46
2012-12-01,11.34
2013-01-01,12.53
2013-02-01,13.71
2013-03-01,14.9
2013-04-01,16.09
2013-05-01,17.28
2013-06-01,18.46
2013-07-01,19.65
2013-08-01,20.12
2013-09-01,19.24
2013-10-01,16.08
2013-11-01,14.03
2013-12-01,17.79
2014-01-01,20.2
2014-02-01,22.6
2014-03-01,20.02
2014-04-01,20.74
2014-05-01,21.56
2014-06-01,22.39
2014-07-01,23.21
2014-08-01,22.01
2014-09-01,20.77
2014-10-01,20.5
2014-11-01,14.97
2014-12-01,16.51
2015-01-01,16.37
2015-02-01,19.18
2015-03-01,16.77
2015-04-01,17.22
2015-05-01,18.14
2015-06-01,19.59
2015-07-01,21.33
2015-08-01,19.25
2015-09-01,19.38
2015-10-01,16.32
2015-11-01,15.74
2015-12-01,16.02
2016-01-01,18.71
2016-02-01,17.87
2016-03-01,17.46
2016-04-01,18.86
2016-05-01,19.68
2016-06-01,20.66
2016-07-01,21.64
2016-08-01,19.79
2016-09-01,17.66
2016-10-01,15.62
2016-11-01,18.91
2016-12-01,20.97
2017-01-01,18.43
2017-02-01,23.28
2017-03-01,22.23
2017-04-01,21.99
2017-05-01,21.77
2017-06-01,20.62
2017-07-01,19.48
2017-08-01,20.46
2017-09-01,19.87
2017-10-01,17.74
2017-11-01,19.36
2017-12-01,20.98
2018-01-01,22.6
2018-02-01,23.63
2018-03-01,23.65
2018-04-01,24.4
2018-05-01,23.94
2018-06-01,23.49
2018-07-01,23.03
2018-08-01,22.65
2018-09-01,22.55
2018-10-01,24.34
2018-11-01,28.9
2018-12-01,28.0
2019-01-01,21.3
2019-02-01,25.53
2019-03-01,25.12
2019-04-01,24.14
2019-05-01,23.48
2019-06-01,23.67
2019-07-01,18.38
2019-08-01,18.96
2019-09-01,18.92
2019-10-01,16.25
2019-11-01,18.59
2019-12-01,20.66
2020-01-01,19.52
2020-02-01,18.53
2020-03-01,17.63
2020-04-01,18.17
2020-05-01,19.1
2020-06-01,20.59
2020-07-01,20.73
2020-08-01,17.91
2020-09-01,18.5
2020-10-01,18.44
2020-11-01,17.43
2020-12-01,19.68
2021-01-01,21.01
2021-02-01,21.03
2021-03-01,22.42
2021-04-01,23.11
2021-05-01,23.8
2021-06-01,23.75
2021-07-01,20.27
2021-08-01,17.29
2021-09-01,16.18
2021-10-01,15.85
2021-11-01,18.69
2021-12-01,18.66
2022-01-01,19.13
2022-02-01,18.59
2022-03-01,17.21
2022-04-01,18.31
2022-05-01,17.2
2022-06-01,17.98
2022-07-01,17.98
2022-08-01,18.97
2022-09-01,17.63
2022-10-01,19.32
2022-11-01,19.4
2022-12-01,20.77
2023-01-01,19.23
2023-02-01,19.38
2023-03-01,20.15
2023-04-01,21.25
2023-05-01,21.32
2023-06-01,22.66
2023-07-01,22.08
2023-08-01,22.71
2023-09-01,21.81
2023-10-01,22.15
2023-11-01,22.85
2023-12-01,24.87
2024-01-01,28.66
2024-02-01,28.29
2024-03-01,26.56
2024-04-01,25.2
2024-05-01,27.55
2024-06-01,25.21
2024-07-01,26.29
2024-08-01,23.86
2024-09-01,19.98
2024-10-01,20.71
2024-11-01,21.72
2024-12-01,22.65
2025-01-01,23.17
2025-02-01,21.79
2025-03-01,20.79
2025-04-01,20.29
2025-05-01,19.15
2025-06-01,16.66
